article_title,article_paragraph
President Sarkissian visits Yerablur Pantheon on birthday of Commander Vazgen Sargsyan,"YEREVAN, MARCH 5, ARMENPRESS. President of Armenia Armen Sarkissian visited the Yerablur Military Pantheon today on the occasion of the birthday of Commander (Sparapet) Vazgen Sargsyan.President Sarkissian laid flowers at the tomb of the Commander, paying a tribute to his memory.“I came to Yerablur on the occasion of the birthday of my friend Vazgen Sargsyan”, Armen Sarkissian said.From early morning Vazgen Sargsyan’s relatives, friends, as well as a number of political, public figures, war volunteers visited Yerablur to pay tribute to his memory.Aram Sargsyan, the brother of Vazgen Sargsyan, told reporters that the Commander had a great input in the Artsakh war, the formation of the Army.“He dedicated his whole life and activities to the Artsakh issue. He was a soldier until late 1998. During his life Vazgen was never called Sparapet, as he would not allow that because he was a modest man. He never overestimated himself and believed that victory was achieved thanks to the investment of every person who participated in the war”, Aram Sargsyan said.Edited and translated by Aneta Harutyunyan"
Armenia signs bilateral and trilateral defense cooperation plans with Greece and Cyprus,"YEREVAN, FEBRUARY 28, ARMENPRESS. The delegation led by Head of the Defense Policy Department of the Defense Ministry of Armenia Levon Ayvazyan participated in the discussion and military-political consultations of the Armenian-Greek defense cooperation plan for 2020 in Greece on February 28.As ARMENPRESS was informed from the press service of the Defense Ministry of Armenia, during the meetings with their Greek partners the results of the cooperation of 2019 were summed up and the programs for 2020 were discussed. The sides highly assessed the results of the cooperation.Based on the results of the consultations, the defense ministries of Armenia and Greece signed the bilateral cooperation plan for 2020. On the same day a trilateral cooperation plan was signed between Armenia, Greece and Cyprus.During the meetings issues referring to regional security were discussed. The sides presented their positions on the regional developments and challenges.Edited and translated by Tigran Sirekanyan"
Armenian Special Operations Paratroopers Assault Team’s women fighters showcase close combat skills,"YEREVAN, FEBRUARY 26, ARMENPRESS. Minister of Defense Davit Tonoyan viewed an exhibition of martial arts, hand-to-hand close combat by the first women fighters of the Armenian Armed Forces Special Operations Brigade Paratroopers Team.The servicemembers – the first women soldiers of the special division – showcased combat knife attacking, defense and other tactical skills.The elite troops told Tonoyan that they are mentally and physically ready to overcome any challenge side-by-side with their men brothers-in-arms, and in the event of necessity to complete any mission on the battlefield. The fighters said they’ve set a goal for themselves to perfect their skills and be the best.Edited and translated by Stepan Kocharyan"
"Armenia is third most militarized country in the world, according to GMI 2019","YEREVAN, FEBRUARY 20, ARMENPRESS. Armenia is the third most militarized nation in the world, according to the Global Militarisation Index 2019 of the Bonn International Center for Conversion.Every year, BICC’s Global Militarisation Index (GMI) presents the “relative weight and importance of a country's military apparatus in relation to its society as a whole”.The GMI 2019 covers 154 states.The top ten militarized nations in the world, according to the report, are: Israel, Singapore, Armenia, Cyprus, South Korea, Russia, Greece, Jordan, Belarus and Azerbaijan.Turkey is ranked 19th, Iran is 24th and Georgia is 49th.Armenia was 3rd in the 2018 report as well.Edited and translated by Stepan Kocharyan"
Armenia allows evacuation of body of Azerbaijani soldier,"YEREVAN, FEBRUARY 19, ARMENPRESS. At the request of the Azerbaijani side, under the mediation of Personal Representative of the OSCE Chairman-in-Office Andrzej Kasprzyk and the assistance of the ICRC, a group of Azerbaijani de-miners carried out works for finding a missing Azerbaijani soldier near the Armenian village of Movses.As ARMENPRESS was informed from the press service of the Defense Ministry of Armenia, the body of the Azerbaijani soldier was discovered some meters away from the positions. All security conditions were ensured during the searching operation allowed by the Armenian side.Edited and translated by Tigran Sirekanyan"
Armenian military faces shake-up as government attempts to tackle non-combat fatalities,"YEREVAN, FEBRUARY 18, ARMENPRESS. There will be cadre changes in the Armed Forces, Chief of the General Staff of the Armenian Armed Forces Lt. General Artak Davtyan told reporters in parliament after being summoned for a discusiion with legislators regarding the recent non-combat fatalities in the military.“There will be cadre changes, the official orders will be published,” he said, without elaborating.Earlier Prime Minister Nikol Pashinyan revealed that a shake-up will take place in the military.Edited and translated by Stepan Kocharyan"
Chief of Staff Lt. General Davtyan has no plans to resign over non-combat fatalities in military,"YEREVAN, FEBRUARY 18, ARMENPRESS. Chief of the General Staff Lt. General Artak Davtyan says he won’t resign over the recent non-combat fatalities in the military.“First of all, I’m not going to resign,” he told reporters after being summoned to parliament over the matter.“Second, since January 1 2020 out of the 13 (conscripted and contractual servicemembers, officers) fatalities 4 were as a result of accidents, 4 were as a result of circumstances not related to service (disease, personal), and the 5 other cases are under criminal investigation, the circumstances are being determined. After these cases I visited the military bases, I participated in the servicemen’s funerals, I am not avoiding this,” Davtyan said.Edited and translated by Stepan Kocharyan"
"Artsakh defense minister holds consultation, discusses recent death cases of soldiers","YEREVAN, FEBRUARY 15, ARMENPRESS. Defense Minister of Artsakh, Defense Army Commander, Lieutenant-General Karen Abrahamyan today held a consultation with the participation of the members of the army’s Military Council and heads of military-law enforcement bodies, the Defense ministry of Artsakh told Armenpress.The consultation participants discussed the recent cases of deaths of soldiers registered in the Artsakh armed forces. Commenting on the situation the Commander of the Army separately analyzed all the cases, talked about their causes and future actions.“The death of each soldier is a great loss for us. Despite our daily heightened works, the recent cases show that we are not doing something right somewhere”, he said.At the end Minister Abrahamyan gave concrete instructions to the responsible officials to improve the situation.Edited and translated by Aneta Harutyunyan"
Avalanche kills 3 servicemen in Armenia,"YEREVAN, FEBRUARY 7, ARMENPRESS. 4 contractual servicemen were left under avalanche in the positions of a military regiment located in Armenia’s Syunik Province at about 16:50, February 6.As ARMENPRESS was informed from the press service of the Defense Ministry of Armenia, the bodies of 3 servicemen have been found.The other serviceman was rescued with minor injuries.The Defense Ministry expresses condolences to the family and friends of the victims.Edited and translated by Tigran Sirekanyan"
"Military Police commence unannounced inspections in armed forces, reveal violations","YEREVAN, FEBRUARY 7, ARMENPRESS. Minister of Defense Davit Tonoyan has ordered the Military Police to commence unannounced inspections at numerous military bases of the Armenian Armed Forces, the Defense Ministry said in a news release.The actions aimed at inspecting the state of military discipline, particularly the participation of servicemen in the combat readiness trainings.The Defense Ministry said the military police have revealed a number of violations.A group of servicemen who were absent from the trainings have been detained by military police. Moreover, commanders who failed in supervising the military discipline will be under internal investigation.The Defense Ministry said that the surprise inspections will be continuous.Edited and translated by Stepan Kocharyan"
More than 89% of Armenians trust the Army,"YEREVAN, JANUARY 28, ARMENPRESS. 89.4% of the citizens of Armenia trust the Armenian Army most among the state and public structures, according to the results of the research conducted by Breavis.The Republic of Armenia and Armenians around the world celebrate the 28th anniversary of foundation of the Armenian Armed Forces on January 28.The formation of the Armenian Armed Forces coincides with 1992-1994, when the newly independent Republic of Armenia, along with the Nagorno Karabakh Republic, being in undeclared but de facto war with Azerbaijan, simultaneously embarked on the creation of a national army. The Declaration of Independence of 1990, however, played a decisive role in the creation of the Armenian Army."
"Armenian military will be more than powerful, vows Defense Minister","YEREVAN, JANUARY 28, ARMENPRESS. The arsenal and capabilities required for the military to carry out its mission on a high level have been increased, Defense Minister Davit Tonoyan told reporters.“I won’t disclose military secrets but I will say that these increases are in dozens of percentages. That is, our capacities have significantly increased,” he said.Asked when the next batch of the SU-30SM fighter jets will be supplied to Armenia, Tonoyan did not specify timeframes but said the aircrafts will arrive soon.Davit Tonoyan emphasized that “soon the Armenian army will be more than powerful”.Speaking on the border situation, he said the situation is stable at the moment.Edited and translated by Stepan Kocharyan"
Armenian Armed Forces celebrate 28th anniversary of foundation,"YEREVAN, JANUARY 28, ARMENPRESS. The Republic of Armenia and Armenians around the world celebrate the 28th anniversary of foundation of the Armenian Armed Forces on January 28.The formation of the Armenian Armed Forces coincides with 1992-1994, when the newly independent Republic of Armenia, along with the Nagorno Karabakh Republic, being in undeclared but de facto war with Azerbaijan, simultaneously embarked on the creation of a national army. The Declaration of Independence of 1990, however, played a decisive role in the creation of the Armenian Army.On January 28, 1992, the Government adopted the historic decision titled “On the Defense Ministry of Armenia”, heralding the formation of the Armenian Armed Forces. In May of 1992, the Defense Ministry carried out the first drafting.The establishment of the Armenian Armed Forces passed through several stages. The first stage lasted from February 1988 to May 1992. In this period, ensuring the safety and security of the populations of Armenia and Nagorno Karabakh was more than pressing, as the Karabakh Movement became active and the Armenian-Azerbaijani relations escalated.The second stage, June 1992 – May 1994, when the Republic of Armenia and the Republic of Nagorno Karabakh were in the crosshairs of the Azerbaijani aggression.The third stage began since June 1994 and continues to present day. During this period, significant works were carried out in the direction of improving the combat readiness of the troops, strengthening discipline, training of officers, Army-public relations etc.In September of 1990, the special regiment of Yerevan was formed, while five companies were established in Ararat, Goris, Vardenis, Ijevan and Meghri. In 1991, the Government approved the formation of the State Committee of Defense.Men aged 18-27 are subject to compulsory military service in Armenia for a two year period. Drafting is carried out twice a year – in winters and summers. In 2017 the Defense Ministry introduced “I am”, “I have honor” and “Outlook” service options.Since its establishment, the Armenian Armed Forces have cooperated and continue cooperating with international organizations.On May 15, 1992, Armenia became a member of the Collective Security Treaty Organization (CSTO).Military cooperation with Russia has a great role in the international cooperation field of the Armenian Armed Forces. Russia is Armenia’s strategic partner and the defense cooperation between the states is on a high level.Cooperation with NATO is also expanding year by year.The Armenian Armed Forces greatly focus on training and educating highly skilled personnel. With this purpose, the Military aviation college was formed, which later transformed into the Military-Aviation institute, the Defense Ministry’s Command College was established – currently the Vazgen Sargsyan Military Institute, and the military-medical faculty of the Yerevan State Medical University.Graduates of the abovementioned institutions have continued trainings in foreign educational facilities. Namely, more than 1500 officers and cadets have trained and continue training in Russia and Greece.Armenian peacekeepers have a significant role in the history of the Armenian Armed Forces. Due to the peacekeepers, various countries around the world saw and appreciated the highly skilled and professional Armenian soldiers.On February 12, 2004, Armenia deployed a platoon-sized unit (three squads) to Kosovo to join the NATO peacekeeping mission as part of the Greek peacekeeping contingent.In 2005, Armenia deployed peacekeeping forces consisting of sappers, engineers and doctors to Iraq. The mission was on duty until 2009.Armenian servicemen are carrying out peacekeeping missions also in Afghanistan since 2010.Since November 26, 2014, Armenian peacekeepers are deployed in Lebanon, within the UNIFIL.In 2015, one peacekeeper was dispatched to Mali on a monitoring-peacekeeping mission.The Armenian Army is also the guarantor of security in the region. Imposed peace – this is a statement which in the recent period has started to be used more frequently due to frequent ceasefire violations.Being in favor of overcoming problems through dialogue, the Armenian Armed Forces are at the same time announcing that they are ready for any scenario."
"Situation in frontline in 2019 was quite calm, says Armenian defense minister","YEREVAN, JANUARY 27, ARMENPRESS. The session of the Board adjacent to the defense minister of Armenia was held on January 27 dedicated to the combat readiness of the Armed Forces in 2019, the results of combat service and the actions taken to further improve the moral-psychological condition within the troops, the defense ministry told Armenpress.The session was also attended by the representatives of the commanding staff of Artsakh’s Defense Army.In his opening remarks Defense Minister of Armenia Davit Tonoyan said the situation in the frontline in 2019 has been quite calm thanks to the efforts of the military-political leadership and the concrete strategy and actions of the armed forces. But he added that this is not enough and additional efforts are needed to further strengthen the combat preparedness of the troops and ensure the inviolability of borders.Chief of General Staff of the Armenian Armed Forces, Lieutenant-General Artak Davtyan delivered a report at the session introducing the works done so far, the achievements and shortcomings. He informed that the upgrading works of new armament and military equipment continued with a large scale. The Armed Forces fulfilled their tasks at the highest level and managed to give counter response to the provocative actions of the adversary.Defense Minister Tonoyan gave certain instructions and tasks on the upcoming activities.At the end of the session several subdivisions and officers were awarded for their service.Edited and translated by Aneta Harutyunyan"
"“Shameful chapter of 80’s weapons” is over, Pashinyan lauds Armenia’s modern military arsenal","KAPAN, JANUARY 25, ARMENPRESS. Prime Minister Nikol Pashinyan says since the Armenian military has acquired brand new and modern weapons and equipments, the “shameful chapter of the 1980’s weapons” is closed.“In the 2020 budget the Defense Ministry has been allocated 307 billion drams, which is 28% or 66 billion drams more than in 2018, and 4,5% more than in 2017. Since May 2018 the Republic of Armenia has acquired unprecedented quantity of weapons-ammunition compared to the visible period of time: SU-30SM multi-role fighter jets, TOR M2KM and Osa AK air defense missile systems. The military has been supplemented with artillery equipment, rocket launchers, small arms, ammunition, 310 units of motor equipment. Prototypes of various types of weapons were tested. The Government of Armenia has closed the shameful chapter of the 80’s weapons, because the weapons that we acquired are either manufactured in 2019 or brand new, unused,” he said during the 100 Fact about New Armenia Part III news conference.Edited and translated by Stepan Kocharyan"
Serviceman dies after accidentally falling down ravine,"YEREVAN, JANUARY 22, ARMENPRESS. A serviceman of the Armenian Armed Forces has died in an accident while on-duty at a military position.The incident took place January 21, 13:15.According to preliminary information, Artur Nalbandyan, a contract serviceman, accidentally fell down a ravine and succumbed to his injuries.The military investigations department is probing the incident, Investigations Committee spokesperson Naira Harutyunyan said.Edited and translated by Stepan Kocharyan"
Armenian soldier wounded by Azerbaijani shooting,"YEREVAN, JANUARY 11, ARMENPRESS. Soldier of the Armenian Armed Forces Artur Arzumanyan has been wounded by the Azerbaijani sniper fire in the military positions located in the direction of Berkaber community of Tavush province, Armenian defense ministry spokesperson Artsrun Hovhannisyan said on Facebook.“Today, at around 12:25, soldier of the Armenian Armed Forces Artur Arzumanyan was wounded by the Azerbaijani sniper fire in the military positions located in the direction of Berkaber community of Tavush province. The whole responsibility for future actions falls on the Azerbaijani side”, he said.Edited and translated by Aneta Harutyunyan"
Speaker of Parliament visits active-duty troops to congratulate on New Year,"YEREVAN, DECEMBER 30, ARMENPRESS. Speaker of Parliament Ararat Mirzoyan has visited active-duty troops in a number of border positions in the province of Tavush ahead of New Year to congratulate the members of the Armed Forces on the holidays.“Our pride. Ahead of New Year we visited the border positions in Chinari, Movses and a number of other north-eastern border positions. I am fascinated and highly impressed. Glory and honor to all of them, from private to the highest commander. May you always welcome peaceful dawns, men. All the best to you and your families. Happy New Year and Merry Christmas,” Mirzoyan said on Facebook.Mirzoyan was accompanied by MP Andranik Kocharyan, the chair of the parliamentary committee on defense and security affairs.Edited and translated by Stepan Kocharyan"
PM inspects new food supply system in military base,"YEREVAN, DECEMBER 30, ARMENPRESS. Prime Minister Nikol Pashinyan visited a military base in Noyemberyan to inspect the newly introduced food supply system. The new food supply system in the Armenian military has been introduced in 2019 and already covers 40 bases in Armenia and Artsakh, with this particular base in Noyemberyan being the latest.The visit was broadcast live through the PM’s Facebook.Pashinyan’s wife Anna Hakobyan, Minister of Territorial Administration and Infrastructures Suren Papikyan and Governor of Tavush Hayk Chobanyan accompanied the PM during the visit.Edited and translated by Stepan Kocharyan"
“Now that’s a gift” – Armenia receives SU-30SM fighter jets on Defense Minister’s birthday,"YEREVAN, DECEMBER 27, ARMENPRESS. The 4 units of the SU-30SM fighter jets that were supplied to Armenia earlier today have arrived on a symbolic day, it turns out.Armenian military spokesperson Artsrun Hovhannisyan told ARMENPRESS the fighter jets arrived in Armenia on the birthday of Defense Minister Davit Tonoyan, who was present at the airfield together with PM Nikol Pashinyan.The first batch that was delivered includes four of the 4+ generation jets.“This was a dream, now this is a birthday gift. Mr. Minister, happy birthday”, Hovhannisyan said.Moreover, Hovhannisyan posted a photo of Yevgeny Averyanov, the pilot who was operating the aircraft upon delivery and who showcased the maneuverability of the aircraft. “He is the son of Hero of Russia, pilot V. Averyanov”, Hovhannisyan said.Edited and translated by Stepan Kocharyan"
Death cases and incidents decline in Armenian Armed Forces,"YEREVAN, DECEMBER 26, ARMENPRESS. Death cases and incidents in the Armenian Armed Forces have declined by 20% in 2019, Chief of General Staff of the Armed Forces, Lieutenant-General Artak Davtyan told reporters at a press conference.He said the number of servicemen applying to military hospitals declined by 7%, and the number of those applying to medical facilities decreased by 5%.“These figures are a very important achievement for us. They were achieved thanks to the consistent preventive actions”, Artak Davtyan said.He added that as of now 20% of the winter draft has been carried out. “As of this moment we received no serious complaints regarding the winter draft”, he added.Edited and translated by Aneta Harutyunyan"
Chief of General Staff of Armenian Armed Forces to attend CSTO Military Committee session in Russia,"YEREVAN, DECEMBER 12, ARMENPRESS. Chief of the General Staff of the Armenian Armed Forces, Lieutenant-General Artak Davtyan and his delegation departed for Russia to take part in the session of the CSTO Military Committee in St. Petersburg, the defense ministry told Armenpress."
Government seeks to end amnesty-for-cash law for draft evasion,"YEREVAN, DECEMBER 12, ARMENPRESS. The Cabinet has announced it is ending the amnesty-for-cash law for draft evaders, issuing a negative conclusion on a bill proposing to extend the law.The law will still function until December 31, but will not be extended, the Cabinet said.Minister of Defense Davit Tonoyan said at the Cabinet meeting that the law was an incentive provided by the government in a specific period of time in concrete political-economic conditions. But in practice, he said, the law had become a method for young men to evade from compulsory military service. Tonoyan said many men who have reached conscription age are relying on the regular extension of the law and are evading service by leaving the country, and then avoiding criminal prosecution by paying the defined fee depending on the number of years they have spent on the run. “We believe this to be unfair towards the citizens living in Armenia who have fulfilled their constitutional obligation,” Tonoyan said.The law was enabling draft dodgers who have reached the age of 27 to avoid criminal liability by paying a penalty to the state.Prime Minister Nikol Pashinyan emphasized that the law will still be active until December 31st.“And our dearest compatriots who find it to be bad that this law will not be extended have the chance to buy airplane tickets today, pass all the procedures here and also celebrate New Year in Armenia,” Pashinyan said, referring to male Armenian citizens who are currently abroad and who have not served in the military as prescribed by law.The opposition Bright Armenia (LHK) party had proposed to extend the law and submitted the bill to the Cabinet for approval.But the Cabinet today issued a negative conclusion.The decision still has to formally pass parliament.Edited and translated by Stepan Kocharyan"
"A lot has changed in defense sector in terms of corruption cases, says deputy minister","YEREVAN, DECEMBER 9, ARMENPRESS. Deputy defense minister of Armenia Gabriel Balayan doesn’t rule out corruption manifestations in the defense sector, but is confident that a lot has changed in the system.“Today the increase in attraction of the military service contributes to these changes. In other words corruption risks decline as a result of the new military diet, new quality of clothing and other factors, and if all these were done previously on time, the corruption picture in the field would be different, and the reforms would be carried out more quickly”, the deputy minister told reporters after a conference dedicated to the International Anti-Corruption Day.He stated that the main challenge of corruption cases in the defense field has been the procurement and assured that today in terms of complaints there is a very good situation in the system.Edited and translated by Aneta Harutyunyan"
Parliament passes bill at first hearing aimed at tackling bullying-related suicides in military,"YEREVAN, DECEMBER 9, ARMENPRESS. An opposition-authored bill envisaging more severe criminal liability for bullying members of the Armed Forces into committing or attempting to commit suicide passed parliament at first hearing debates with 94 votes in favor.The bill is authored by Prosperous Armenia (BHK) party lawmakers Naira Zohrabyan, Vahe Enfiajyan, Shake Isayan and Arman Abovyan.If passed, the Criminal Code will be amended with a new article defining 3-8 years imprisonment for members of the Armed Forces who will deliberately or negligently bully a fellow military serviceman into committing suicide or attempting to commit suicide. The article will foresee 5-10 years imprisonment if the crime will be committed by a superior against a subordinate, by a group of persons, or regularly against the same person, or against active duty personnel on combat shifts. 7-12 years imprisonment is defined if the crime is committed in conditions of martial law, wartime or combat.MP Naira Zohrabyan told parliament that the suicides taking place in the military during peacetime shows that there are violations of the Code of Conduct among the personnel.She said these issues are voiced as a public demand to subject perpetrators who incite servicemen into committing suicide to more stricter punishment.The Cabinet had earlier approved the bill and made several recommendations, which in turn were accepted by the authors.On November 29, the bill was approved by a parliamentary committee.Edited and translated by Stepan Kocharyan"
Soldier wounded in Defense Army’s military unit still in critical condition,"YEREVAN, DECEMBER 6, ARMENPRESS. There is a positive dynamics in the health condition of a soldier wounded in the one of the military units of the Artsakh Defense Army, but he is still in critical condition, Deputy Defense Minister of Armenia Gabriel Balayan told a press conference in Armenpress.He commented on the media reports and rumors over this incident, stating that some of these rumors are groundless. “For instance, according to some rumors this wounded soldier is in the hospital of Stepanakert, but this has nothing to do with the reality. At least two days ago we organized his transportation to Yerevan, and the best doctors of Armenia participated in his treatment, including surgery. I have an impression that an attempt is made to provoke complaint within the public”, he said.He considered unacceptable connecting this incident with the entire military unit. “That military unit has quite an impressive combat direction. Did you ever ask how many awarded officers conduct service in this military unit?”, the deputy minister said.He informed that the criminal case over the incident is already launched, operative actions have been taken and the materials were sent to the respective structure. The defense ministry is in touch with the commanding staff of the Artsakh Defense Army.One soldier was killed and another one was wounded in one of the military units of the Artsakh Defense Army on December 2.Edited and translated by Aneta Harutyunyan"
Armenian military to have army sports club for distinguished athlete conscripts,"YEREVAN, DECEMBER 6, ARMENPRESS. The Armenian military will have a special sports club in the army where distinguished athlete men will be conscripted to, Deputy Minister of Defense Gabriel Balayan said at a press conference.He said there are a number of legislative initiatives underway to amend the law and create the new unit.“Representatives of the sports community were awaiting this. Young men having significant achievements in sports will be conscripted to the club,” Balayan said.Edited and translated by Stepan Kocharyan"
Armenian military “actively” supplementing arsenal,"YEREVAN, DECEMBER 6, ARMENPRESS. Armenia has been actively supplementing its military arsenal in 2018 and 2019, Deputy Minister of Defense Gabriel Balayan told a news conference on December 6.He said the Armenian military continues acquiring modern weapons and modernizing the existing ones.“Unfortunately I can’t tell you more, it’s classified, except from the aircrafts that have already been announced,” Balayan said, referring to the SU-30SM fighter jets which Armenia is buying.Edited and translated by Stepan Kocharyan"
Situation relatively calm in frontline – Armenia’s deputy defense minister,"YEREVAN, DECEMBER 6, ARMENPRESS. The situation in the Armenia-Azerbaijan border and the Artsakh-Azerbaijan line of contact is relatively calm, Deputy Defense Minister of Armenia Gabriel Balayan told a press conference in Armenpress.“The situation is relatively calm in the frontline. At least in the past week the number of shots has neither decreased nor increased. No any extraordinary incident happened except the recent case when our soldier was wounded [Defense Army solder Rafayel Azizyan, born in 1997] which took place in the north-eastern section of the Artsakh Republic and to which the Artsakh armed forces gave a tough response”, the deputy minister said.The Armenian Foreign Ministry strongly condemned the November 29 ceasefire violation by Azerbaijan which caused a severe injury to Rafael Azizyan, a serviceman of the Artsakh Defense Army. The Ministry said this unprovoked incident caused by a sniper shot indicates that the Azerbaijani side makes a deliberate attempt to violate the ceasefire.Edited and translated by Aneta Harutyunyan"
