article_title,article_paragraph
Extending operation of NPP among priorities of energy development in Armenia,"YEREVAN, FEBRUARY 28, ARMENPRESS. The Armenian government plans to extend the operation of the second power unit of the Nuclear Power Plant until 2036, acting head of the department of atomic energy at the ministry of territorial administration and infrastructures Nune Aleksanyan said at a panel discussion.“If after 2026 the results of studies confirm the secure operation of the NPP, the government plans to extend the NPP’s operation by another 10 years, until 2036”, she said.Nune Aleksanyan said extending the operation of the nuclear power plant is among the government’s priorities, meanwhile the construction of the new power unit is one of the goals of the government.“The option to extend the operation term of the current NPP is the system’s development guarantee with the minimum costs, but the construction of the new power unit is one of the goals of the government. Given that Armenia doesn’t have natural gas and oil resources, we consider necessary to have a new power plant for keeping and strengthening the necessary level of energy security and independence”, she said, adding that currently Armenia’s 2040 energy development strategy is at the development stage.According to her, the new power plant will allow to supply reliable and secure energy at affordable prices to meet the state’s needs.Edited and translated by Aneta Harutyunyan"
"Armenia economic activity grows 8,9% in January, says PM","YEREVAN, FEBRUARY 25, ARMENPRESS. Economic activity in Armenia grew 8,9% in January, Prime Minister Nikol Pashinyan said in a Facebook post.“We are starting the year on a high economic note. In January 2020 we recorded the following indicators – 8,9% economic activity growth, 13,4% manufacturing growth, 7,7% growth in construction, 10,3% growth in trade turnover, 13,2% growth in services, 18,7% growth in electricity production and 20,4% growth of exports,” the PM said, adding that the inflation was only 0,2%.“In short, we’ve started a brilliant economic year”, he said.Edited and translated by Stepan Kocharyan"
"Process manufacturing became leader of growth in Armenia, says economy minister","YEREVAN, FEBRUARY 21, ARMENPRESS. The 7,6% economic growth indicator meets the government’s expectations, Economy Minister Tigran Khachatryan told ARMENPRESS.In 2019, Armenia recorded 7,6% growth – the highest growth in Europe and among Eurasian Economic Union countries.ARMENPRESS: What measures made this indicator possible?Khachatryan: A few important notes in this regard. First of all, I am very happy that the manufacturing branch, which was always in the center of our discussions and attentions during the year, greatly contributed to the GDP growth, with 10,2%. More importantly, the process manufacturing grew this year and recorded the highest share in the GDP structure since 2008 – 12,1%. This is a very important achievement: the process manufacturing became the main leader of Armenia’s economic growth. The government’s economic policy priorities include for the process manufacturing to be competitive, in line with the modern world demands and to create quality workplaces. I believe we are heading in the right direction in this context. Another indicator testifying this is the 10,3% growth of goods and services exports, which too became one of the main leaders securing growth.He said the 7,6% growth meets the expectations that the government had for the year.Khachatryan also pointed out the hospitality and public food services with the more than 27% growth.“Another noteworthy chance in relation to the economic growth peculiarities is the indicator of the financial sector and insurance service: the economic brokerage role is increasing, and we believe this is the foundation which must be strengthened and contribute to the sustainability of further growth”, he said.Khachatryan said they have been clearly instructed by the Prime Minister Nikol Pashinyan to make all efforts in order for 2020 to be “no less effective than 2019”, with at least 8% growth.Edited and translated by Stepan Kocharyan"
Ural Airlines to start operating Perm-Yerevan regular flights,"YEREVAN, FEBRUARY 18, ARMENPRESS. Ural Airlines will start operating flights from the city of Perm to Armenia’s capital Yerevan. The Russian airline has received permission for operating regular flights, Armenpress reports citing the website of the Russian aviation.The flights will be carried out three times a week.There is no information yet about the flights to Yerevan in the flight list of the Perm airport.In 2019 flights from Perm’s Bolshoye Savino airport were carried out in 42 destinations. But now the geography of flights is expanding which in its turn positively affects the passenger flow.Edited and translated by Aneta Harutyunyan"
"UAE, Europe, US, China: “Davtyan Jewelry” products are entering new markets","YEREVAN, FEBRUARY 12, ARMENPRESS. Over 80 exhibitions, numerous medals and certificates: these are the achievements of the Davtyan Jewelry. The company doesn’t miss any opportunity to present its products and enter into new markets. The years-long consistent work and dedication to the job give their results. And all these thanks to director of the company Arshavir Davtyan. He is a jewelry designer and is working in the field since the early 90s. He gained an experience from his father and is promoting his family’s business very actively together with brothers Armen and Karen Davtyan.Brothers say the difficulties in the early 90s touched everyone, including their family. However, their dedication to work helped them to overcome the difficulties and not only find a stable place in the Armenian market, but also to think of major goals by entering the international markets.“When you do your job with love, are dedicated to your work, one day the results will be definitely visible. During those years there were many difficulties, not everything was perfect, but the problems were possible to overcome. During our whole activities we attached importance to the high quality of the work we do, its uniqueness and personal approach. This in turn helps to raise the demand towards our production”, Arshavir Davtyan told Armenpress.The company not only presents its own products, but also is ready to meet all the requirements of clients. Arshavir’s brothers say there is no “I can’t” for him. After briefly talking to a client, he immediately imagines the jewelry he/she wants. The interest towards the Davtyan Jewelry is great, be it in the CIS states, Russia, China, Europe, US or the UAE. The Davtyan brothers proudly state that they have returned from all international exhibitions with awards and high appreciation. The clients’ high assessment, trust, the special attention received at international exhibitions is a result of the work done by Arshavir Davtyan.“Each country has its own peculiarities, and usually we are presenting jewelry in accordance with the demand of that particular market. In any case one thing is obvious: while making jewelry we take into account the modern approaches, but the “Armenian” is on its base. During international exhibitions we definitely present jewelry with Armenian ornaments”, Arshavir Davtyan said, adding that participation to each exhibition helps the company to have new partners and clients. They are receiving both individual and group orders. Arshavir Davtyan is confident that their product is competitive in the international market. No matter what market it is, the company is presenting a high-quality product.Armenia has had good jewelry traditions, and the Davtyan brothers believe that the country has a great potential to restore them. A state systematic approach is just needed for the development of the field. They also attach importance to the active awareness raising campaign in the international market, the use of the potential of diplomatic representations which will help to draw attention to the Armenian production.The company has new plans to expand the production, present unique samples, participate in international fairs and enter new markets.Interview by Anna GziryanEdited and translated by Aneta Harutyunyan"
Independent experts predict Armenia’s economic growth in 2019 will reach 8.2% – PM Pashinyan,"YEREVAN, FEBRUARY 9, ARMENPRESS. According to independent experts Armenia’s economic growth for 2019 will reach 8.2%, ARMENPRESS reports Prime Minister of Armenia Nikol Pashinyan wrote on his Facebook page, citing an article of EU Reporter.''According to independent experts, the economic growth of Armenia for 2019 will reach 8.2%. Let's wait for the official statistics, which will be published in February'', the PM wrote.Earlier, Minister of Economy of Armenia had said that Armenia will record at least 7.5% economic growth.Edited and translated by Tigran Sirekanyan"
Vietnam’s PM highlights development of trade and economic relations with Armenia,"YEREVAN, FEBRUARY 4, ARMENPRESS. Prime Minister of the Socialist Republic of Vietnam Nguyễn Xuan Phuc met on February 3 with Ambassador of Armenia to Vietnam Vahram Kazhoyan.As ARMENPRESS was informed from the press service of the MFA Armenia, greeting the Ambassador, Prime Minister Phuc noted that there is a positive atmosphere of mutual understanding between the two countries and particularly emphasized the importance of the development of cooperation in the spheres of trade, economy and investments.Thanking the Prime Minister of Vietnam for the reception, Ambassador Kazhoyan congratulated him on the occasion of the 90th anniversary of the establishment of Communist Party of Vietnam and assumption of the chairmanship over the UNSC and the ASEAN by Vietnam.During the meeting Ambassador Kazhoyan referred to the priorities of the Armenian-Vietnamese cooperation. He added that the Armenian companies show great interest to participate in “Vietnam Expo” 2020, which can be a good platform for the export of Armenian products not only to Vietnam, but also ASEAN countries.Edited and translated by Tigran Sirekanyan"
"Armenia economic activity index grows 7,8%","YEREVAN, JANUARY 31, ARMENPRESS. The economic activity index of Armenia grew 7,8% in 2019 January-December compared to the previous year, the Statistics Committee said in a report.During the reporting period the volume of industrial output grew 9%, the gross agricultural production dropped 4,2%, construction grew 4,6% and trade turnover grew 8,9%. Volume of services grew 15%.Consumer price index increased 1,4%, while the industrial product price index 0,5%.Electricity production dropped 1,9%. Average monthly wages grew 5,8% - totaling 182750 drams (8,4% increase in public sector and 3,8% increase in private sector).The volume of foreign trade turnover grew 10,4% (exports grew 9,4% and imports grew 10,8%).Edited and translated by Stepan Kocharyan"
"Armenia foreign investments inflow grows 27,6% in one year","KAPAN, JANUARY 25, ARMENPRESS. The inflow of foreign investments in 2019 January-September totaled 2 billion 174 million dollars, which is 27,6% or 456 million dollar more than in 2018, PM Nikol Pashinyan said during his 100 Facts About New Armenia, Part III news conference.Compared against 2017, the indicator is 41% more.“In terms of foreign direct investments the receipts in the abovementioned period totaled 453,8 million dollars, which is 17,8% or 68,7 million dollar more than in 2018”, he said.Speaking about governmental privileges for priority sector investments, he said that in 2019 they approved 57 investments programs worth 212 billion drams. The projects will open 3320 workplaces, he said.Edited and translated by Stepan Kocharyan"
"Armenia is leading country with growth pace in Europe, Pashinyan presents IMF assessment","KAPAN, JANUARY 25, ARMENPRESS. Armenia is the leading country in terms of economic growth pace in the Eurasian Economic Union and among CIS countries, and also in the European region according to the IMF, Prime Minister Nikol Pashinyan said during a news conference in Kapan where he is presenting a 3rd series of the 100 Facts About New Armenia.“According to the three quarters of 2019, Armenia’s GDP growth totaled approximately 7,5%, which is 1,6 percentage points more than the 2017 indicator and 1,3 percentage points more than the 2018 indicator. According to the information of the three quarters Armenia is first in terms of economic growth pace in the Eurasian Economic Union, the CIS countries, and according to the International Monetary Foundation’s assessment also in the European region,” Pashinyan said.Edited and translated by Stepan Kocharyan"
Meat traders protesting government ban on home butchery halt protest,"YEREVAN, JANUARY 22 , ARMENPRESS. Farmers and meat traders in the Province of Gegharkunik blocked the Vardenis-Yerevan highway on January 22 as a protest against the government’s ban on home slaughter of livestock. The new law effective since January 15 means that livestock can only be slaughtered in slaughterhouses.Mayor of Vardenis Aram Melkonyan arrived at the rally to meet with the demonstrators and he told the farmers that Prime Minister Nikol Pashinyan is expected to personally address the matter in parliament later in the day.“We listened to our mayor and opened the road, but only with one condition: the prime minister’s response must stem from our interests, otherwise we will block the road again tomorrow morning,” one of the protesting farmers said.Edited and translated by Stepan Kocharyan"
Gas price in border will not change in 2020: tariff change for consumer not expected until April,"YEREVAN, JANUARY 20, ARMENPRESS. The price of gas supplied from Russia to Armenia in the border will not increase in 2020. There is an agreement according to which there will be no change in tariff for consumers until April 1, as well as Gazprom Armenia CJSC will not submit an application to the Public Services Regulatory Commission, Deputy Prime Minister of Armenia Mher Grigoryan told reporters, but didn’t rule out the possibility of submitting an application, tariff change after April 1.“The gas price in the border was raised from January 1, 2019. But from January 1, 2020 the price will not increase, including for the whole year. This issue has been agreed upon. There is also another agreement according to which the tariff will not change until April 1, as well as application will not be submitted because currently discussions are underway and are not summed up yet. At this moment I don’t see a reason of submitting an application. But maybe an application will be submitted after April 1”, he said.The deputy PM reminded that the most important components in the formation of the gas tariff are the price in the border, the current costs and there is also an issue of an investment program. Grigoryan said there is a claim according to which in order to organize safe, uninterrupted and effective gas supply in Armenia investments are needed. “This topic of investments is being and will be discussed. And maybe Gazprom Armenia will have something new to say in this respect”, he said, adding that discussions are underway, also connected with the investment programs.Asked if in any case the gas price increases, whether the state plans to compensate it, the deputy PM said if they see that an application was submitted, if there is an explanation, necessity for costs, the government, of course, will make its decision.Edited and translated by Aneta Harutyunyan"
PM Pashinyan presents statistics on rising number of visitors to Armenia,"YEREVAN, JANUARY 14, ARMENPRESS. In the 4th quarterly of 2019 the number of visitors to Armenia rose nearly by 400 thousand or 22.7% against the same period of 2017, ARMENPRESS reports Prime Minister of Armenia Nikol Pashinyan wrote on his Facebook page.“In the 4th quarterly of 2019 the number of visitors to Armenia amounted to 2 million 150 thousand and 383. In the 4th quarterly of 2018 the number of visitors to Armenia amounted to 1 million 906 thousand and 722. In the 4th quarterly of 2017 the number of visitors to Armenia amounted to 1 million 751 thousand and 729. In the 4th quarterly of 2019 the number of visitors to Armenia rose by 398 thousand and 654 or 22.7% against the same period of 2017”, Pashinyan wrote, emphasizing that in the 4th quarterly the number of visitors exceeded the number of those who left the country.Pashinyan also presented the numbers for the entire year, as well as the number of those who left the country, He noted that in 2019 the number of those who left the country exceeded the number of visitors by 9 thousand and 467. In 2018 the number of those who left the country exceeded the number of visitors by 11 thousand and 882. “Please, focus on the fact that according to the results of 2017, the number of those who left the country exceeded the number of visitors by 133 thousand and 826”, Pashinyan wrote.Edited and translated by Tigran Sirekanyan"
GDP per capita in Armenia expected to be around 4650 USD,"YEREVAN, JANUARY 14, ARMENPRESS. According to the forecasts of the ministry of economy GDP per capita in Armenia is going to be 4650 USD based on results of 2019, Minister of Economy Tigran Khachatryan told reporters at a press conference, commenting on the recent post of the Armenian PM over the GDP.“Without commenting the comparisons, both Armenia, Georgia and Azerbaijan as of today are among the countries which, most probably, will sum up 2019 with 4600-4700 USD GDP per capita indicator. We think that this figure in Armenia will be approximately 4650 USD”, the minister said, adding that the Statistical Committee will publish the concrete figures.Earlier Prime Minister Nikol Pashinyan said that Armenia surpassed Georgia with GDP per capita indicator with results of 2019 and will surpass also Azerbaijan in 2020, by becoming the leading country of South Caucasus.Edited and translated by Aneta Harutyunyan"
Minister expects at least 7.5% economic growth based on 2019 results,"YEREVAN, JANUARY 14, ARMENPRESS. Armenia will have at least 7.5% economic growth based on the annual results of 2019, Minister of Economy Tigran Khachatryan said during today’s press conference.“We have started a very good year as it is built on the good base of 2019. Based on the results of the 11 months of the past year we have 7.5 economic activity index. In particular the growth of industry plays a vital role. Industrial production volume grew by 9.3% in 11 months. Services increased by almost 15%. The domestic trade turnover recorded a 9.2% growth, construction-4.5%, export-9%. The annual GDP figures are not summed up yet, but we can already state that we will have at least 7.5% economic growth”, the minister said.Khachatryan considered this a very important achievement as a result of the works done in the past 1.5 year.Edited and translated by Aneta Harutyunyan"
Armenia to have representative in Upper Lars border checkpoint starting from February,"YEREVAN, JANUARY 13, ARMENPRESS. The State Revenue Committee receives opinions from agencies on the candidate of Armenia’s representative to the Upper Lars border checkpoint. The representative will most probably be appointed in January, SRC Chairman Davit Ananyan said at a press conference in response to Armenpress question.“The candidacy of our representative to the Upper Lars has been presented to the government. We have the opinion of the foreign ministry, collect other opinions and views as well. I think this month we will appoint our representative and starting from February we will have our representative in Upper Lars”, he said.Davit Ananyan added that in practice there is no problem with Russian partners. He assured that in case of any concrete situation or a need to provide clarification or intervention, they are cooperating with their partners and solve all issues. “But without a representative this requires a lot of efforts”, he said.The workplace of Armenia’s permanent representative to the Upper Lars will be in the Russian city of Vladikavkaz.Edited and translated by Aneta Harutyunyan"
Number of flight destinations from Armenia to Europe greatly increases,"YEREVAN, JANUARY 13, ARMENPRESS. Number of flight destinations from Armenia to Europe has greatly increased thanks to the changes and works done by the Civil Aviation Committee.Tatevik Revazyan, chairwoman of the Civil Aviation Committee of Armenia, told a press conference in Armenpress that previously there were 6-7 flights to Europe, but now the number of these regular flights reached 16-17.“Very serious changes have taken place, we are expecting a major passenger flow to Armenia. If you noticed, international media recently started reporting about Armenia quite frequently. Airlines also carry out major works to advertise their directions”, she said, adding that the increase in number of flight destinations, the entry of low-cost airlines to Armenia is an opportunity for its citizens to travel to Europe via a direct flight and with affordable tickets. She noted that this is also an opportunity for a great tourism flow coming from abroad.The Irish Ryanair airline is entering into the Armenian aviation market. The airline will operate the first flight on January 14, connecting Yerevan with Rome and Milan, and then will carry out a flight to Berlin in late March and from Gyumri to the German town of Memmingen.Another low-cost airline, Wizz Air, will also start operating flights from Yerevan to Vienna and Vilnius in April.Edited and translated by Aneta Harutyunyan"
Estimations of Armenia’s economic growth are pretty solid compared to neighbors – World Bank,"YEREVAN, JANUARY 9, ARMENPRESS. According to the World Bank’s Global Economic Prospects January 2020 report the estimations of Armenia’s economic growth are pretty solid at this stage, reports Armenpress.“According to the World Bank Global Economic Prospects (#GEP) January 2020 report, growth in the South Caucasus is forecast to decelerate, however estimations of Armenia’s economic growth are pretty solid at this stage. In particular, the forecast of growth for 2020 is 5.1%, while for 2021-2022 – 5.2% accordingly”, the report says.According to the report “firming growth in the South Caucasus, to an estimated 3.7 percent in 2019, was supported by private consumption, and on the supply side by strong manufacturing growth, as well as by a recovery in mining production in Armenia”.Regional growth is expected to firm over the forecast horizon, to 2.6 percent in 2020 and 2.9 percent in 2021-22, on the assumptions that key commodity prices and growth in the Euro Area stabilize, and that Turkey’s economy recovers from earlier financial pressures and Russia firms on the back of policy support (Figure 2.2.2.A). Considerable variation across economies is expected to continue. Economies in Central Europe are anticipated to slow as fiscal policy support wanes and demographic pressures persist, while those in Central Asia are projected to continue growing at a robust pace, and more rapidly than previously envisaged, on the back of structural reform progress, the report said."
Armenia set to become leading country of South Caucasus by GDP per capita,"YEREVAN, JANUARY 6, ARMENPRESS. Armenia has surpassed its neighboring Georgia with GDP per capita with results of 2019, Prime Minister Nikol Pashinyan said on Facebook, citing a report of the International Monetary Fund (IMF).“Folks, remember when I said from parliament floor that with 2019’s results we would surpass with GDP per capita indicator Georgia, and in 2020 also Azerbaijan.The IMF has officially affirmed this assessment: with results of 2019 we have surpassed Georgia, and in 2020 we will surpass Azerbaijan, and become the leading country of South Caucasus”, the PM said, citing the report.Edited and translated by Stepan KocharyanCORRECTION: 22:02 - The original version of the article erroneously stated that Armenia’s indicator in 2019 has surpassed Azerbaijan's also."
Government vows more economic reforms in 2020,"YEREVAN, DECEMBER 30, ARMENPRESS. Minister of Economy Tigran Khachatryan has vowed that in 2020 the government’s economic reforms will be more tangible, with more noticeable results.“We are welcoming 2020 with the confidence that today businesses are operating in conditions of free, impartial competition and equality. This is the irreversible guarantee of the development of entrepreneurship in new Armenia, where any person with business plans has the chance to freely realize their ideas,” the minister said in a video.Khachatryan also spoke about Armenia’s more than 7% economic growth in 2019 – the highest growth figure among all EAEU countries.Edited and translated by Stepan Kocharyan"
